Provinsi,,,,,,,
,Produksi Daging Kambing menurut Provinsi (Ton),,,,,,
,2021,2022,,,,,
ACEH,2001.09,2046.43,,,,,
SUMATERA UTARA,900.98,927.47,,,,,
SUMATERA BARAT,402.63,405.3,,,,,
RIAU,741.4,748.8,,,,,
JAMBI,702.51,653.48,,,,,
SUMATERA SELATAN,1763.06,1866.11,,,,,
BENGKULU,111.11,176.23,,,,,
LAMPUNG,4270.07,4447.92,,,,,
KEP. BANGKA BELITUNG,170.33,178.86,,,,,
KEP. RIAU,291.58,281.66,,,,,
DKI JAKARTA,705.98,788.54,,,,,
JAWA BARAT,2499.98,5509.13,,,,,
JAWA TENGAH,12359.32,11699.54,,,,,
DI YOGYAKARTA,1398.33,1412.03,,,,,
JAWA TIMUR,20148.11,20651.82,,,,,
BANTEN,2292.46,2610.69,,,,,
BALI,1954.1,1982.55,,,,,
NUSA TENGGARA BARAT,392.82,412.48,,,,,
NUSA TENGGARA TIMUR,876.62,965.11,,,,,
KALIMANTAN BARAT,364.12,369.23,,,,,
KALIMANTAN TENGAH,231.62,236.24,,,,,
KALIMANTAN SELATAN,351.09,333.96,,,,,
KALIMANTAN TIMUR,757.49,772.61,,,,,
KALIMANTAN UTARA,175.32,188.65,,,,,
SULAWESI UTARA,89.5,92.93,,,,,
SULAWESI TENGAH,1721.07,1746.02,,,,,
SULAWESI SELATAN,874.84,881,,,,,
SULAWESI TENGGARA,205.08,200.88,,,,,
GORONTALO,276.88,290.73,,,,,
SULAWESI BARAT,149.86,151.8,,,,,
MALUKU,254.3,324.49,,,,,
MALUKU UTARA,82.51,83.24,,,,,
PAPUA BARAT,35.12,35.86,,,,,
PAPUA,178.85,186.63,,,,,
INDONESIA,59730.15,63658.43,,,,,
,,,,,,,
Metadata Indikator,,,,,,,
Indikator,Konsep,Definisi,Interpretasi,Metode Perhitungan,Rumus,Ukuran,Dihasilkan dari kegiatan
Produksi Daging,Produksi daging hasil pemotongan,Produksi dari pemotongan ternak yang di potong di rumah potong hewan berupa daging.,"Semakin tinggi produksi daging dari pemotongan ternak RPH/TPH maka semakin tinggi konsumsi daging merah di Indonesia.
",-,-,Berat,Laporan Triwulanan Pemotongan Ternak (RPH dan Keurmaster)